,Date_x,Open,High,Low,Close,Adj Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
146,2020-05-11,3.72,3.77,3.66,3.74,3.74,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
147,2020-05-12,3.74,3.78,3.61,3.62,3.62,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
148,2020-05-13,3.64,3.68,3.32,3.44,3.44,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
149,2020-05-14,3.33,3.52,3.27,3.45,3.45,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
150,2020-05-15,3.37,3.45,3.36,3.37,3.37,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
151,2020-05-18,3.5,3.69,3.5,3.61,3.61,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
152,2020-05-19,3.62,3.75,3.59,3.69,3.69,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
153,2020-05-20,3.76,3.82,3.4,3.48,3.48,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
154,2020-05-21,3.4,3.44,3.23,3.33,3.33,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
155,2020-05-22,3.33,3.34,3.18,3.27,3.27,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
156,2020-05-26,3.42,3.83,3.4,3.82,3.82,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
157,2020-05-27,4.01,4.2,3.9,4.17,4.17,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
158,2020-05-28,3.98,4.12,3.75,3.83,3.83,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
159,2020-05-29,3.82,4.0,3.73,3.98,3.98,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
160,2020-06-01,4.0,4.33,3.96,4.26,4.26,3.7533333333333334,4.426666666666667,3.3066666666666666,4.873333333333333,2.6333333333333333,5.546666666666667,2.1866666666666665,6.22,1.7399999999999984,6.893333333333333,1.293333333333333
161,2020-06-02,4.36,4.73,4.35,4.7,4.7,3.7533333333333334,4.426666666666667,3.3066666666666666,4.873333333333333,2.6333333333333333,5.546666666666667,2.1866666666666665,6.22,1.7399999999999984,6.893333333333333,1.293333333333333
162,2020-06-03,5.0,5.7,4.98,5.6,5.6,3.7533333333333334,4.426666666666667,3.3066666666666666,4.873333333333333,2.6333333333333333,5.546666666666667,2.1866666666666665,6.22,1.7399999999999984,6.893333333333333,1.293333333333333
163,2020-06-04,6.01,6.2,5.61,5.97,5.97,3.7533333333333334,4.426666666666667,3.3066666666666666,4.873333333333333,2.6333333333333333,5.546666666666667,2.1866666666666665,6.22,1.7399999999999984,6.893333333333333,1.293333333333333
